,id,type,title,description,lat,lng,city,state,day,order,imageUrl,upgraded,status,isMutable,isNianticControlled,statement,canAppeal,appealResolved,isClosed,appealNotes,userAppealNotes,canHold,canReleaseHold,poiData_id,poiData_imageUrl,poiData_title,poiData_description,poiData_lat,poiData_lng,poiData_city,poiData_state,poiData_lastUpdateDate,poiData_reason,poiData_0,poiData_1,poiData_2,poiData_3,poiData_4,poiData_5,poiData_6,poiData_7,poiData_8,poiData_9,poiData_10,poiData_11,poiData_12,poiData_13,poiData_14,poiData_15,poiData_16,poiData_17,poiData_18,poiData_19,poiData_20,poiData_21,poiData_22,poiData_23,poiData_24,poiData_25,poiData_26,poiData_27,poiData_28,poiData_29,poiData_30,poiData_31,poiData_32,poiData_33,poiData_34,poiData_35,poiData_36,poiData_37,poiData_38,poiData_39,poiData_40,poiData_41,poiData_42,poiData_43,poiData_44,poiData_45,poiData_46,poiData_47,poiData_48,poiData_49,poiData_50,poiData_51,poiData_52,poiData_53,poiData_54,poiData_55,poiData_56,poiData_57,poiData_58,poiData_59,poiData_60,poiData_61,poiData_62,poiData_63,poiData_64,poiData_65,poiData_66,poiData_67,poiData_68,poiData_69,poiData_70,poiData_71,poiData_72,poiData_73,poiData_74,poiData_75,poiData_76,poiData_77,poiData_78,poiData_79,poiData_80,poiData_81,poiData_82,poiData_83,poiData_84,poiData_85,poiData_86,poiData_87,poiData_88,poiData_89,poiData_90,poiData_91,poiData_92,poiData_93,poiData_94,poiData_95,poiData_96,poiData_97,poiData_98,poiData_99,poiData_100,poiData_101,poiData_102,poiData_103,poiData_104,poiData_105,poiData_106,poiData_107,poiData_108,poiData_109,poiData_110,poiData_111,poiData_112,poiData_113,poiData_114,poiData_115,poiData_116,poiData_117,poiData_118,poiData_119,poiData_120,poiData_121,poiData_122,poiData_123,poiData_124,poiData_125,poiData_126,poiData_127,poiData_128,poiData_129,poiData_130,poiData_131,poiData_132,poiData_133,poiData_134,poiData_135,poiData_136,poiData_137,poiData_138,poiData_139
1863,XVcBBgFXDgRXXFddBApSUloCVFEDWQVXUlMFWlAGUlxLBwcH,NOMINATION,Lake Payne Swimming Beach - West,"This sign helps mark one of the two designated swimming areas at Lake Payne. This area is located on the west side of the lake, near the campsite with running water and electricity. It is highly recommended to swim at this designated area, as it is cleared of vegetation and away from fishing areas.",32.885527,-87.444959,UNREGISTERED,UNREGISTERED,2022-06-05,1863.0,https://lh3.googleusercontent.com/Z9psbcpVj3luz_UGziatIX1dLCblGKQABf8QO2_kZNF4UB-gx8Sv5WlgjkOOrdsx6Y1eus-vyLKhzW1OGxzCgVozbgNJLV33ygBUSei6hA,,ACCEPTED,,,"This is a swimming area in a lake in a public park. There is a man-made enclosure of pipe and rope that demarcates the boundary of the swim area (can barely be seen in the background of the supporting photo). This waypoint qualifies under the category of outdoor recreation. I was unable to get a good picture of the swimming area because it was in use by other campers, but it can be seen from a top-down view with the satellite view.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,VQVTB1UFAgcDUQIGBAEBBloAVgMGAAJVVAVRVg0EW1BLBwcH,NOMINATION,Lake Payne Primitive Campsite #23,One of the primitive campsites on the east side of Lake Payne. A great place to come out and connect with the outdoors.,32.8852,-87.438798,UNREGISTERED,UNREGISTERED,2023-03-04,2010.0,https://lh3.googleusercontent.com/SwNaAazi-W6OPuIqwprQ-3mhyYi8SLABivBLY36GO0l7kC1xEdjD_YrBWZlTEI5TXz-2_m0oxRH6JiIxNdbTztEg36S9u575GNCeJ5uB,,ACCEPTED,,,This is a public campsite in a public park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,VVAOUA8ADlJXAQ0GBA9QVQBVVlULXgxQUw4HVFdSAFBLBwcH,NOMINATION,Lake Payne East Campground Directory Sign,"Directory sign on the east side of Lake Payne. This sign is located on the primitive camping side of the lake, pointing to the directions of campsites and the east swimming area.",32.885867,-87.439707,UNREGISTERED,UNREGISTERED,2023-03-04,2011.0,https://lh3.googleusercontent.com/10Pio512rTdOVMrjkfsClP6qssoCWd8bjvbSswB1ZaDr-jkTSlMdWCznkf1YBxGH9BrDoAIK9PW1wj9HOEzeWWE-9ALW9E2-l4_EasRZ,,ACCEPTED,,,"This is a directory sign in a public park with safe pedestrian access. It is the only directory sign on this side of the lake, making it a very useful landmark, especially if you don't have a map of the park.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2097,XANSAwdWAQIHAAVcBF1QVloADl4BCVcFAFUGWwIIUgRLBwcH,NOMINATION,Lake Payne Campsite #14,"This campsite is one of the campsites on the west side of Lake Payne, with access to running water. This particular campsite had a beautiful lookout over the lake from where it's picnic table is located.",32.890121,-87.44223,UNREGISTERED,UNREGISTERED,2023-06-04,2097.0,https://lh3.googleusercontent.com/NiuZS-jG-QD35HnXceKoOK_9Xf6FHMwPgnb1jFS4-0B78ssHnZRW_3H4GVo9YR5zYR_QbV6yaeeq7DhHWWMs0Dg7bGgZSbqIOiNDVQeQUQ,,REJECTED,,,This is a campsite located in a public park,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3188,B1AHAVRXUlYLVgMHBAwBUwFQAwUED1VYBFQDUQQCUQdLBwcH,NOMINATION,Welcome To Mill Hall,"This sign on the front of the Pilot rest stop welcomes travelers to the Mill Hall borough of Pennsylvania. Located near the geographic center of the state, Mill Hall is located along Fishing Creek and Bald Eagle Creek. It is known for notable locations, like the Millbrook Playhouse and the historic Heisey House. Welcome!",41.03428,-77.516119,UNREGISTERED,PA,2025-09-13,3188.0,https://lh3.googleusercontent.com/M_bUkfKWjdS_ylpD6G5M6PC9QrbYkOBaRf_hf5sDm6uXa2bE3d53EYnkQWi-NQDgXn5verHmAQVC-FsKwTTpDbuk1eg8XHeGuH7UnRqi,,ACCEPTED,,,"This is a small, but unique and newly-installed welcome sign at a rest stop in a small town. The sign being unique and promoting exploration allows this submission to qualify as a waypoint. It is located at a rest stop, which promotes further exploration and socialization.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3310,BlQCD1MAVQkEVg0HBA4DBVoGVQIACFBWB1IBUgRUAAFLBwcH,NOMINATION,Mass Central Rail Trail - 60.6 Mile Marker,"This marker along the Mass Central Rail Trail notes the point that was historically 60.6 miles away from North Station (by rail) in Boston, when this trail was a railroad. This marker preserves the common practice of using markers to note landmarks along the railroad, in this case the nearby crossing over the Quinapoxet River near what was the Charolette Mill. Today, this humble marker continues to help guide distance along the trail in the greater MCRT system.",42.382717,-71.832565,UNREGISTERED,MA,2025-10-11,3310.0,https://lh3.googleusercontent.com/UDNoj92rfIeltjD0XgQf1R5vMwBNrS3_Qmy72_CFSuDV4TkSpOvnND1kjHU7IwfuJdmdXGh0egDldTYiQ1PmZ-Qf8KhyFrc6W3YaOAo,,ACCEPTED,,,"This is a permanently installed trail marker along a hiking and biking trail that follows what was once a railroad line. This specific marker has increased significance, as it also marks distance along the original rail line, as opposed to some other markers that only mark relative distance from nearby trailheads. This marker anchors the trail in this point, helping explorers guide their way along with trail with a notable landmark. This marker is safely accessible to hikers, and per the supporting photo, there is clearly no train track anymore, and this is now a trail. More about the trail itself can be found here: https://masstrailtracker.com/map?segment=62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3311,VwRUUwFWAgBQVlYABFwGCQBQUgICXAcEVgMNAQYHVFRLBwcH,NOMINATION,Charlotte Mill Picnic Area,"A picnic area, equipped with picnic tables, located by the Charlotte Mill Historic Site along the Mass Central Rail Trail. It is a place to sit and relax along the trail, and enjoy a view if the Quinapoxet River.",42.38324,-71.828328,UNREGISTERED,MA,2025-10-11,3311.0,https://lh3.googleusercontent.com/B-DhevO6pNbsfd7L5Emgbg6hXzu55snsC8nMU00yuc4Fb5PSNBk55KY_Y7b59p977NE7BoX6m2cItG8W2wADBHQBDEj1YqBbVi-mvACK,,ACCEPTED,,,"This is a permanently installed picnic area with picnic tables, which is located along a public trail. The trail encourages exploration and exercise, and the tables encourage socialization.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3312,BlRWBwZSDwFXBgIHBAEOVVlQAFYLXQUDBwIEVlIEAFBLBwcH,NOMINATION,Eric and Lois Johansen Memorial Bench,"This bench along the Holden stretch of the Mass Central Rail Trail is dedicated in the memory of Eric and Lois Johansen. They were revered members of the Holden community. They were active in many ways, including volunteering for Holden Scout Troop 182. Eric served as a local volunteer firefighter and president of the White Oaks Land Preservation, supporting greenspaces like the trail. They were granted many accolades from the community, like the ""Good Neighbor Award"" from the Holden Town Committee.",42.38116,-71.833885,UNREGISTERED,MA,2025-10-11,3312.0,https://lh3.googleusercontent.com/skoIjBrqKaZJ_I5CEEBxSqf_mMXjZlpFfoiWFNOT0vnJB1v8mDkd7V6s3wwq73dFMFwn_oI1KqHxp4kiQd2SaDcjMir-s0-7y246PTSS,,ACCEPTED,,,"This is a memorial bench that is dedicated to two notable members of the Holden community. It is located along a public trail, with benches that are dedicated to individuals and families who were important and beloved in Holden throughout its history. This bench is dedicated to Eric and Lois, who spend much of their time volunteering in the town in many ways, from firefighting, to supporting local greenspaces, to supporting children sports and extracurricular activities. Both of them were very involved in the community and recognized for their efforts. Eric's obituary further describes the many contributions and awards for both Eric and Lois with their community: https://www.milesfuneralhome.com/obituaries/eric-johansen-2

This bench helps anchor a point of interest along a trail, with the bench encouraging exploration and the trail itself is on encouraging exercise and exploration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3313,AQdVVQYEBQkCVQBUBAgEAllXVVNWXgVZVQQFVlIJWgdLBwcH,NOMINATION,Natick Mall West Directory,"This directory sign, located on the west side of the Natick Mall, is equipped with a well-labeled map that helps mallgoers navigate the mall.",42.301383,-71.386167,UNREGISTERED,MA,2025-10-12,3313.0,https://lh3.googleusercontent.com/9MYIDnYymAq7UVsLaD99A_8uV_BNIXT7WVwzaHbZcCXmfvfxAzojIsLUy2DxbpeW4c2UByI3nToY2Pw7jdwJy_KuVEbJik5NRBtBKybP,,ACCEPTED,,,"This is a permanently installed place name sign, directory, and map that is located in a public mall. The map encourages exploration and the mall encourages socialization.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3314,XAcADwdQBVJVAAJTBABSA1pQDlACAAIHAQMDU1VSVABLBwcH,NOMINATION,Hyper Zone Indoor Playground,"Welcome to the Hyper Zone! The Hyper Zone is an indoor playground in the Auburn Mall, equipped with a ball pit, slides, and a series of tunnels to climb around in. Plenty of fun in any weather!",42.202076,-71.834979,UNREGISTERED,MA,2025-10-13,3314.0,https://lh3.googleusercontent.com/fSgf1VgTIwIMKbST9qIxtxP-A1DPXmQUm8i6tYpGlpdMai3BR7N-WozZiXdOYMQhVfbe7jkfQsknG5maUCVTnD4PuttQ-tgyoHNMNttK,,ACCEPTED,,,"The Hyper Zone is an indoor playground in a shopping mall that opened in 2025. It encourages socialization, exercise, and exploration for families with children. The mall setting further encourages socialization. More about the playground can be found on their website here: https://hyperzonema.com/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
