state_city,ACCEPTED,DUPLICATE,REJECTED,WITHDRAWN
MO-SAINT CHARLES,1,2,3,0
NC-RALEIGH,1,0,0,0
NY-ELMIRA,1,0,3,0
TN-CHATTANOOGA,1,0,0,0
RI-JOHNSTON,1,0,0,0
AL-INDIAN SPRINGS VILLAGE,0,1,3,0
MA-SOUTHBOROUGH,0,0,1,0
IN-BATESVILLE,0,0,1,0
CT-EAST HAVEN,0,0,1,0
HI-HONOLULU,0,0,1,0
NC-ROWLAND,0,0,1,0
MO-VICHY,0,0,1,0
MO-ST. PETERS,0,0,1,0
MO-SEDALIA,0,0,2,0
MO-ELLISVILLE,0,0,1,0
MO-OLIVETTE,0,0,1,0
PA-MILTON,0,0,1,0
WA-SEATAC,0,0,2,0
